"CVTA_ID","SampleDateTime","ForkLength","LAD_Race","Genetic_Assignment","Prob_Assignment","Facility"
"C251149CVP","2025-12-22 06:00:00",34,"Fall","Spring",0.96399999,"CVP"
"C251142CVP","2025-12-22 06:00:00",34,"Fall","Spring",0.74900001,"CVP"
"C251169CVP","2025-12-22 06:00:00",35,"Fall","Spring",0.68400002,"CVP"
"C251135CVP","2025-12-22 06:00:00",35,"Fall","Spring",0.96399999,"CVP"
"C251137CVP","2025-12-22 06:00:00",35,"Fall","Spring",0.99299997,"CVP"
"C251138CVP","2025-12-22 06:00:00",35,"Fall","Spring",0.74699998,"CVP"
"C251143CVP","2025-12-22 06:00:00",35,"Fall","Spring",0.98900002,"CVP"
"C251144CVP","2025-12-22 06:00:00",35,"Fall","Spring",0.995,"CVP"
"C251145CVP","2025-12-22 06:00:00",35,"Fall","Spring",0.92699999,"CVP"
"C251151CVP","2025-12-22 06:00:00",35,"Fall","Spring",0.99800003,"CVP"
"C251152CVP","2025-12-22 06:00:00",35,"Fall","Spring",0.824,"CVP"
"C251153CVP","2025-12-22 06:00:00",35,"Fall","Spring",0.99800003,"CVP"
"C251154CVP","2025-12-22 06:00:00",35,"Fall","Spring",0.99900001,"CVP"
"C251156CVP","2025-12-22 06:00:00",35,"Fall","Spring",0.64300001,"CVP"
"C251157CVP","2025-12-22 06:00:00",35,"Fall","Spring",0.79400003,"CVP"
"C251160CVP","2025-12-22 06:00:00",35,"Fall","Spring",0.73400003,"CVP"
"C251162CVP","2025-12-22 06:00:00",35,"Fall","Spring",0.97799999,"CVP"
"C251163CVP","2025-12-22 06:00:00",35,"Fall","Spring",0.73500001,"CVP"
"C251164CVP","2025-12-22 06:00:00",35,"Fall","Spring",1,"CVP"
"C251173CVP","2025-12-22 06:00:00",35,"Fall","Spring",0.87300003,"CVP"
"C251165CVP","2025-12-22 06:00:00",36,"Fall","Spring",0.96799999,"CVP"
"C251170CVP","2025-12-22 06:00:00",36,"Fall","Spring",0.977,"CVP"
"C251140CVP","2025-12-22 06:00:00",36,"Fall","Spring",0.59100002,"CVP"
"C251141CVP","2025-12-22 06:00:00",36,"Fall","Spring",1,"CVP"
"C251146CVP","2025-12-22 06:00:00",36,"Fall","Spring",NA,"CVP"
"C251148CVP","2025-12-22 06:00:00",36,"Fall","Spring",0.96799999,"CVP"
"C251155CVP","2025-12-22 06:00:00",37,"Fall","Spring",0.77499998,"CVP"
"C251167CVP","2025-12-22 06:00:00",41,"Spring","Spring",0.98100001,"CVP"
"C251184CVP","2025-12-22 08:00:00",32,"Fall","Spring",0.51300001,"CVP"
"C251175CVP","2025-12-22 08:00:00",32,"Fall","Spring",0.68199998,"CVP"
"C251191CVP","2025-12-22 08:00:00",33,"Fall","Spring",0.63800001,"CVP"
"C251193CVP","2025-12-22 08:00:00",33,"Fall","Spring",0.93800002,"CVP"
"C251187CVP","2025-12-22 08:00:00",33,"Fall","Spring",0.90100002,"CVP"
"C251183CVP","2025-12-22 08:00:00",33,"Fall","Spring",0.84399998,"CVP"
"C251179CVP","2025-12-22 08:00:00",33,"Fall","Spring",0.89200002,"CVP"
"C251177CVP","2025-12-22 08:00:00",33,"Fall","Spring",0.51899999,"CVP"
"C251174CVP","2025-12-22 08:00:00",33,"Fall","Spring",0.99400002,"CVP"
"C251194CVP","2025-12-22 08:00:00",34,"Fall","Spring",0.88300002,"CVP"
"C251190CVP","2025-12-22 08:00:00",34,"Fall","Spring",0.87400001,"CVP"
"C251188CVP","2025-12-22 08:00:00",34,"Fall","Spring",NA,"CVP"
"C251180CVP","2025-12-22 08:00:00",34,"Fall","Spring",0.98699999,"CVP"
"C251182CVP","2025-12-22 08:00:00",35,"Fall","Spring",0.91799998,"CVP"
"C251185CVP","2025-12-22 08:00:00",35,"Fall","Spring",0.99800003,"CVP"
"C251195CVP","2025-12-22 08:00:00",35,"Fall","Spring",0.51499999,"CVP"
"C251192CVP","2025-12-22 08:00:00",35,"Fall","Spring",0.97399998,"CVP"
"C251189CVP","2025-12-22 08:00:00",35,"Fall","Spring",0.505,"CVP"
"C251186CVP","2025-12-22 08:00:00",35,"Fall","Spring",0.95999998,"CVP"
"C251178CVP","2025-12-22 08:00:00",35,"Fall","Spring",0.59799999,"CVP"
"C251181CVP","2025-12-22 08:00:00",35,"Fall","Spring",0.98900002,"CVP"
"C251176CVP","2025-12-22 08:00:00",36,"Fall","Spring",0.972,"CVP"
"C251201CVP","2025-12-22 10:00:00",33,"Fall","Spring",0.639,"CVP"
"C251196CVP","2025-12-22 10:00:00",34,"Fall","Spring",0.98100001,"CVP"
"C251199CVP","2025-12-22 10:00:00",35,"Fall","Spring",0.912,"CVP"
"C251198CVP","2025-12-22 10:00:00",35,"Fall","Spring",0.81999999,"CVP"
"C251197CVP","2025-12-22 10:00:00",36,"Fall","Spring",0.85600001,"CVP"
"C251202CVP","2025-12-22 10:00:00",37,"Fall","Spring",0.74000001,"CVP"
"C251200CVP","2025-12-22 10:00:00",37,"Fall","Spring",0.99900001,"CVP"
"C251204CVP","2025-12-22 12:00:00",36,"Fall","Spring",NA,"CVP"
"C251203CVP","2025-12-22 12:00:00",36,"Fall","Spring",0.60100001,"CVP"
"C251205CVP","2025-12-22 12:00:00",37,"Fall","Spring",0.92400002,"CVP"
"C251206CVP","2025-12-22 14:00:00",33,"Fall","Spring",0.51300001,"CVP"
"C251207CVP","2025-12-22 14:00:00",33,"Fall","Spring",0.991,"CVP"
"C251210CVP","2025-12-22 14:00:00",33,"Fall","Spring",NA,"CVP"
"C251212CVP","2025-12-22 14:00:00",33,"Fall","Spring",NA,"CVP"
"C251214CVP","2025-12-22 14:00:00",33,"Fall","Spring",1,"CVP"
"C251216CVP","2025-12-22 14:00:00",33,"Fall","Spring",0.93400002,"CVP"
"C251222CVP","2025-12-22 14:00:00",33,"Fall","Spring",0.65600002,"CVP"
"C251209CVP","2025-12-22 14:00:00",34,"Fall","Spring",0.93800002,"CVP"
"C251208CVP","2025-12-22 14:00:00",34,"Fall","Spring",0.63,"CVP"
"C251215CVP","2025-12-22 14:00:00",34,"Fall","Spring",0.50800002,"CVP"
"C251223CVP","2025-12-22 14:00:00",35,"Fall","Spring",0.59799999,"CVP"
"C251218CVP","2025-12-22 14:00:00",35,"Fall","Spring",0.57700002,"CVP"
"C251217CVP","2025-12-22 14:00:00",35,"Fall","Spring",1,"CVP"
"C251213CVP","2025-12-22 14:00:00",36,"Fall","Spring",0.78500003,"CVP"
"C251211CVP","2025-12-22 14:00:00",36,"Fall","Spring",0.88800001,"CVP"
"C251224CVP","2025-12-22 14:00:00",36,"Fall","Spring",0.90899998,"CVP"
"C251221CVP","2025-12-22 14:00:00",36,"Fall","Spring",0.99800003,"CVP"
"C251219CVP","2025-12-22 14:00:00",36,"Fall","Spring",0.98199999,"CVP"
"C251220CVP","2025-12-22 14:00:00",38,"Spring","Spring",0.71799999,"CVP"
"C251226CVP","2025-12-22 16:00:00",32,"Fall","Spring",0.67199999,"CVP"
"C251230CVP","2025-12-22 16:00:00",33,"Fall","Spring",0.61000001,"CVP"
"C251236CVP","2025-12-22 16:00:00",33,"Fall","Spring",0.99599999,"CVP"
"C251237CVP","2025-12-22 16:00:00",33,"Fall","Spring",0.99400002,"CVP"
"C251242CVP","2025-12-22 16:00:00",33,"Fall","Spring",0.99800003,"CVP"
"C251249CVP","2025-12-22 16:00:00",33,"Fall","Spring",0.51800001,"CVP"
"C251251CVP","2025-12-22 16:00:00",33,"Fall","Spring",0.99699998,"CVP"
"C251254CVP","2025-12-22 16:00:00",33,"Fall","Spring",0.99699998,"CVP"
"C251245CVP","2025-12-22 16:00:00",33,"Fall","Spring",0.99800003,"CVP"
"C251232CVP","2025-12-22 16:00:00",34,"Fall","Spring",0.56400001,"CVP"
"C251231CVP","2025-12-22 16:00:00",34,"Fall","Spring",0.98000002,"CVP"
"C251233CVP","2025-12-22 16:00:00",34,"Fall","Spring",0.53899997,"CVP"
"C251241CVP","2025-12-22 16:00:00",34,"Fall","Spring",1,"CVP"
"C251243CVP","2025-12-22 16:00:00",34,"Fall","Spring",1,"CVP"
"C251244CVP","2025-12-22 16:00:00",34,"Fall","Spring",0.912,"CVP"
"C251247CVP","2025-12-22 16:00:00",34,"Fall","Spring",0.79500002,"CVP"
"C251252CVP","2025-12-22 16:00:00",34,"Fall","Spring",0.98799998,"CVP"
"C251246CVP","2025-12-22 16:00:00",35,"Fall","Spring",0.83700001,"CVP"
"C251248CVP","2025-12-22 16:00:00",35,"Fall","Spring",0.99000001,"CVP"
"C251229CVP","2025-12-22 16:00:00",35,"Fall","Spring",1,"CVP"
"C251238CVP","2025-12-22 16:00:00",35,"Fall","Spring",0.98100001,"CVP"
"C251239CVP","2025-12-22 16:00:00",35,"Fall","Spring",0.82599998,"CVP"
"C251240CVP","2025-12-22 16:00:00",36,"Fall","Spring",1,"CVP"
"C251250CVP","2025-12-22 16:00:00",36,"Fall","Spring",0.88700002,"CVP"
"C251227CVP","2025-12-22 16:00:00",36,"Fall","Spring",0.95099998,"CVP"
"C251234CVP","2025-12-22 16:00:00",36,"Fall","Spring",1,"CVP"
"C251253CVP","2025-12-22 16:00:00",36,"Fall","Spring",0.61400002,"CVP"
"C251225CVP","2025-12-22 16:00:00",37,"Fall","Spring",0.949,"CVP"
"C251235CVP","2025-12-22 16:00:00",37,"Fall","Spring",0.708,"CVP"
"C251228CVP","2025-12-22 16:00:00",38,"Spring","Spring",0.96799999,"CVP"
"C251259CVP","2025-12-22 18:00:00",34,"Fall","Spring",0.98699999,"CVP"
"C251255CVP","2025-12-22 18:00:00",34,"Fall","Spring",0.95700002,"CVP"
"C251260CVP","2025-12-22 18:00:00",35,"Fall","Spring",1,"CVP"
"C251257CVP","2025-12-22 18:00:00",36,"Fall","Spring",1,"CVP"
"C251256CVP","2025-12-22 18:00:00",37,"Fall","Spring",1,"CVP"
"C251258CVP","2025-12-22 18:00:00",37,"Fall","Spring",1,"CVP"
"C251261CVP","2025-12-22 23:59:00",34,"Fall","Spring",0.97500002,"CVP"
"C251262CVP","2025-12-22 23:59:00",34,"Fall","Spring",0.99900001,"CVP"
"C251263CVP","2025-12-22 23:59:00",37,"Fall","Spring",0.77899998,"CVP"
"C251264CVP","2025-12-23 02:00:00",35,"Fall","Spring",1,"CVP"
"C251265CVP","2025-12-23 02:00:00",35,"Fall","Spring",0.59200001,"CVP"
"C251266CVP","2025-12-23 04:00:00",35,"Fall","Spring",0.99599999,"CVP"
"C251267CVP","2025-12-23 04:00:00",35,"Fall","Spring",0.99900001,"CVP"
"C251268CVP","2025-12-23 04:00:00",35,"Fall","Spring",0.98000002,"CVP"
"C251269CVP","2025-12-23 04:00:00",36,"Fall","Spring",0.98299998,"CVP"
"C251278CVP","2025-12-23 06:00:00",33,"Fall","Spring",0.99900001,"CVP"
"C251275CVP","2025-12-23 06:00:00",33,"Fall","Spring",0.99900001,"CVP"
"C251270CVP","2025-12-23 06:00:00",34,"Fall","Spring",1,"CVP"
"C251276CVP","2025-12-23 06:00:00",34,"Fall","Spring",1,"CVP"
"C251272CVP","2025-12-23 06:00:00",34,"Fall","Spring",0.99599999,"CVP"
"C251271CVP","2025-12-23 06:00:00",35,"Fall","Spring",0.83600003,"CVP"
"C251274CVP","2025-12-23 06:00:00",35,"Fall","Spring",0.73299998,"CVP"
"C251277CVP","2025-12-23 06:00:00",36,"Fall","Spring",0.98299998,"CVP"
"C251279CVP","2025-12-23 06:00:00",36,"Fall","Spring",0.62199998,"CVP"
"C251273CVP","2025-12-23 06:00:00",36,"Fall","Spring",1,"CVP"
"C251288CVP","2025-12-23 08:00:00",32,"Fall","Spring",1,"CVP"
"C251292CVP","2025-12-23 08:00:00",32,"Fall","Spring",0.95200002,"CVP"
"C259481CVP","2025-12-23 08:00:00",33,"Fall","Spring",0.91600001,"CVP"
"C259487CVP","2025-12-23 08:00:00",33,"Fall","Spring",0.99900001,"CVP"
"C259496CVP","2025-12-23 08:00:00",34,"Fall","Spring",0.82499999,"CVP"
"C259493CVP","2025-12-23 08:00:00",34,"Fall","Spring",0.99900001,"CVP"
"C259491CVP","2025-12-23 08:00:00",34,"Fall","Spring",1,"CVP"
"C259489CVP","2025-12-23 08:00:00",34,"Fall","Spring",0.89700001,"CVP"
"C259482CVP","2025-12-23 08:00:00",34,"Fall","Spring",1,"CVP"
"C259474CVP","2025-12-23 08:00:00",34,"Fall","Spring",0.90899998,"CVP"
"C259472CVP","2025-12-23 08:00:00",34,"Fall","Spring",1,"CVP"
"C259464CVP","2025-12-23 08:00:00",34,"Fall","Spring",0.99800003,"CVP"
"C259462CVP","2025-12-23 08:00:00",34,"Fall","Spring",0.94999999,"CVP"
"C251296CVP","2025-12-23 08:00:00",34,"Fall","Spring",0.52499998,"CVP"
"C251294CVP","2025-12-23 08:00:00",34,"Fall","Spring",0.70200002,"CVP"
"C251293CVP","2025-12-23 08:00:00",34,"Fall","Spring",1,"CVP"
"C251291CVP","2025-12-23 08:00:00",34,"Fall","Spring",0.676,"CVP"
"C251283CVP","2025-12-23 08:00:00",34,"Fall","Spring",0.59799999,"CVP"
"C259506CVP","2025-12-23 08:00:00",34,"Fall","Spring",0.97399998,"CVP"
"C259502CVP","2025-12-23 08:00:00",34,"Fall","Spring",0.63300002,"CVP"
"C251289CVP","2025-12-23 08:00:00",35,"Fall","Spring",0.95300001,"CVP"
"C251281CVP","2025-12-23 08:00:00",35,"Fall","Spring",0.72100002,"CVP"
"C251282CVP","2025-12-23 08:00:00",35,"Fall","Spring",0.92000002,"CVP"
"C251284CVP","2025-12-23 08:00:00",35,"Fall","Spring",0.99900001,"CVP"
"C251285CVP","2025-12-23 08:00:00",35,"Fall","Spring",0.99900001,"CVP"
"C251286CVP","2025-12-23 08:00:00",35,"Fall","Spring",0.89300001,"CVP"
"C251287CVP","2025-12-23 08:00:00",35,"Fall","Spring",0.99699998,"CVP"
"C251290CVP","2025-12-23 08:00:00",35,"Fall","Spring",0.98100001,"CVP"
"C259463CVP","2025-12-23 08:00:00",35,"Fall","Spring",0.80900002,"CVP"
"C259465CVP","2025-12-23 08:00:00",35,"Fall","Spring",0.69,"CVP"
"C259466CVP","2025-12-23 08:00:00",35,"Fall","Spring",0.99900001,"CVP"
"C259471CVP","2025-12-23 08:00:00",35,"Fall","Spring",0.99900001,"CVP"
"C259478CVP","2025-12-23 08:00:00",35,"Fall","Spring",0.99599999,"CVP"
"C259480CVP","2025-12-23 08:00:00",35,"Fall","Spring",0.90899998,"CVP"
"C259483CVP","2025-12-23 08:00:00",35,"Fall","Spring",1,"CVP"
"C259486CVP","2025-12-23 08:00:00",35,"Fall","Spring",0.99400002,"CVP"
"C259490CVP","2025-12-23 08:00:00",35,"Fall","Spring",0.69400001,"CVP"
"C259494CVP","2025-12-23 08:00:00",35,"Fall","Spring",1,"CVP"
"C259497CVP","2025-12-23 08:00:00",35,"Fall","Spring",0.99900001,"CVP"
"C259498CVP","2025-12-23 08:00:00",35,"Fall","Spring",0.92000002,"CVP"
"C259504CVP","2025-12-23 08:00:00",35,"Fall","Spring",1,"CVP"
"C251295CVP","2025-12-23 08:00:00",36,"Fall","Spring",0.79299998,"CVP"
"C259499CVP","2025-12-23 08:00:00",36,"Fall","Spring",0.95300001,"CVP"
"C259495CVP","2025-12-23 08:00:00",36,"Fall","Spring",0.92400002,"CVP"
"C259492CVP","2025-12-23 08:00:00",36,"Fall","Spring",0.91600001,"CVP"
"C259488CVP","2025-12-23 08:00:00",36,"Fall","Spring",0.58600003,"CVP"
"C259479CVP","2025-12-23 08:00:00",36,"Fall","Spring",0.98699999,"CVP"
"C259476CVP","2025-12-23 08:00:00",36,"Fall","Spring",0.88300002,"CVP"
"C259470CVP","2025-12-23 08:00:00",36,"Fall","Spring",0.98000002,"CVP"
"C259469CVP","2025-12-23 08:00:00",36,"Fall","Spring",1,"CVP"
"C259468CVP","2025-12-23 08:00:00",36,"Fall","Spring",0.80900002,"CVP"
"C259508CVP","2025-12-23 08:00:00",36,"Fall","Spring",0.96200001,"CVP"
"C259507CVP","2025-12-23 08:00:00",36,"Fall","Spring",0.89399999,"CVP"
"C259501CVP","2025-12-23 08:00:00",36,"Fall","Spring",0.99599999,"CVP"
"C259500CVP","2025-12-23 08:00:00",36,"Fall","Spring",0.56300002,"CVP"
"C259505CVP","2025-12-23 08:00:00",37,"Fall","Spring",0.991,"CVP"
"C259503CVP","2025-12-23 08:00:00",37,"Fall","Spring",0.991,"CVP"
"C259484CVP","2025-12-23 08:00:00",37,"Fall","Spring",1,"CVP"
"C259477CVP","2025-12-23 08:00:00",37,"Fall","Spring",0.99199998,"CVP"
"C259475CVP","2025-12-23 08:00:00",37,"Fall","Spring",0.98699999,"CVP"
"C259473CVP","2025-12-23 08:00:00",37,"Fall","Spring",0.53600001,"CVP"
"C259467CVP","2025-12-23 08:00:00",37,"Fall","Spring",0.98199999,"CVP"
"C251280CVP","2025-12-23 08:00:00",37,"Fall","Spring",0.84600002,"CVP"
"C259509CVP","2025-12-23 08:00:00",38,"Spring","Spring",0.98500001,"CVP"
"C259514CVP","2025-12-23 10:00:00",33,"Fall","Spring",0.92900002,"CVP"
"C259520CVP","2025-12-23 10:00:00",33,"Fall","Spring",0.71200001,"CVP"
"C259521CVP","2025-12-23 10:00:00",33,"Fall","Spring",0.90700001,"CVP"
"C259523CVP","2025-12-23 10:00:00",33,"Fall","Spring",0.99000001,"CVP"
"C259512CVP","2025-12-23 10:00:00",33,"Fall","Spring",0.98400003,"CVP"
"C259510CVP","2025-12-23 10:00:00",33,"Fall","Spring",0.977,"CVP"
"C259517CVP","2025-12-23 10:00:00",34,"Fall","Spring",0.92500001,"CVP"
"C259518CVP","2025-12-23 10:00:00",34,"Fall","Spring",0.99699998,"CVP"
"C259519CVP","2025-12-23 10:00:00",34,"Fall","Spring",0.99599999,"CVP"
"C259522CVP","2025-12-23 10:00:00",35,"Fall","Spring",1,"CVP"
"C259511CVP","2025-12-23 10:00:00",35,"Fall","Spring",1,"CVP"
"C259515CVP","2025-12-23 10:00:00",35,"Fall","Spring",1,"CVP"
"C259513CVP","2025-12-23 10:00:00",36,"Fall","Spring",0.99199998,"CVP"
"C259516CVP","2025-12-23 10:00:00",36,"Fall","Spring",0.72100002,"CVP"
"C259531CVP","2025-12-23 12:00:00",34,"Fall","Spring",0.99299997,"CVP"
"C259528CVP","2025-12-23 12:00:00",34,"Fall","Spring",0.99199998,"CVP"
"C259524CVP","2025-12-23 12:00:00",34,"Fall","Spring",0.99800003,"CVP"
"C259529CVP","2025-12-23 12:00:00",35,"Fall","Spring",0.97399998,"CVP"
"C259525CVP","2025-12-23 12:00:00",37,"Fall","Spring",0.98900002,"CVP"
"C259527CVP","2025-12-23 12:00:00",37,"Fall","Spring",0.62900001,"CVP"
"C259532CVP","2025-12-23 12:00:00",37,"Fall","Spring",0.68000001,"CVP"
"C259537CVP","2025-12-23 14:00:00",33,"Fall","Spring",0.99400002,"CVP"
"C259545CVP","2025-12-23 14:00:00",33,"Fall","Spring",0.99900001,"CVP"
"C259533CVP","2025-12-23 14:00:00",34,"Fall","Spring",0.99900001,"CVP"
"C259541CVP","2025-12-23 14:00:00",34,"Fall","Spring",0.56400001,"CVP"
"C259534CVP","2025-12-23 14:00:00",35,"Fall","Spring",0.70999998,"CVP"
"C259546CVP","2025-12-23 14:00:00",35,"Fall","Spring",0.99699998,"CVP"
"C259544CVP","2025-12-23 14:00:00",35,"Fall","Spring",1,"CVP"
"C259542CVP","2025-12-23 14:00:00",35,"Fall","Spring",0.986,"CVP"
"C259535CVP","2025-12-23 14:00:00",35,"Fall","Spring",1,"CVP"
"C259547CVP","2025-12-23 14:00:00",36,"Fall","Spring",0.99299997,"CVP"
"C259543CVP","2025-12-23 14:00:00",36,"Fall","Spring",0.63599998,"CVP"
"C259539CVP","2025-12-23 14:00:00",36,"Fall","Spring",1,"CVP"
"C259536CVP","2025-12-23 14:00:00",36,"Fall","Spring",0.829,"CVP"
"C259538CVP","2025-12-23 14:00:00",37,"Fall","Spring",0.97299999,"CVP"
"C259548CVP","2025-12-23 14:00:00",37,"Fall","Spring",0.99900001,"CVP"
"C259540CVP","2025-12-23 14:00:00",37,"Fall","Spring",0.95599997,"CVP"
"C259554CVP","2025-12-23 16:00:00",33,"Fall","Spring",0.99900001,"CVP"
"C259560CVP","2025-12-23 16:00:00",33,"Fall","Spring",0.99299997,"CVP"
"C259562CVP","2025-12-23 16:00:00",33,"Fall","Spring",0.53200001,"CVP"
"C259551CVP","2025-12-23 16:00:00",33,"Fall","Spring",0.99800003,"CVP"
"C259555CVP","2025-12-23 16:00:00",33,"Fall","Spring",0.90700001,"CVP"
"C259549CVP","2025-12-23 16:00:00",34,"Fall","Spring",0.83499998,"CVP"
"C259552CVP","2025-12-23 16:00:00",34,"Fall","Spring",0.99800003,"CVP"
"C259556CVP","2025-12-23 16:00:00",34,"Fall","Spring",0.93800002,"CVP"
"C259557CVP","2025-12-23 16:00:00",34,"Fall","Spring",0.55800003,"CVP"
"C259558CVP","2025-12-23 16:00:00",35,"Fall","Spring",1,"CVP"
"C259553CVP","2025-12-23 16:00:00",35,"Fall","Spring",0.83999997,"CVP"
"C259559CVP","2025-12-23 16:00:00",36,"Fall","Spring",1,"CVP"
"C259550CVP","2025-12-23 16:00:00",36,"Fall","Spring",0.98699999,"CVP"
"C259561CVP","2025-12-23 16:00:00",36,"Fall","Spring",0.63800001,"CVP"
"C259567CVP","2025-12-23 18:00:00",34,"Fall","Spring",0.82700002,"CVP"
"C259569CVP","2025-12-23 18:00:00",34,"Fall","Spring",0.977,"CVP"
"C259564CVP","2025-12-23 18:00:00",34,"Fall","Spring",0.99800003,"CVP"
"C259563CVP","2025-12-23 18:00:00",34,"Fall","Spring",0.78200001,"CVP"
"C259566CVP","2025-12-23 18:00:00",35,"Fall","Spring",1,"CVP"
"C259568CVP","2025-12-23 18:00:00",35,"Fall","Spring",1,"CVP"
"C259565CVP","2025-12-23 18:00:00",36,"Fall","Spring",0.61199999,"CVP"
"C259570CVP","2025-12-24 02:00:00",34,"Fall","Spring",0.95099998,"CVP"
"C259571CVP","2025-12-24 02:00:00",35,"Fall","Spring",0.954,"CVP"
"C259573CVP","2025-12-24 04:00:00",34,"Fall","Spring",0.99199998,"CVP"
"C259575CVP","2025-12-24 04:00:00",34,"Fall","Spring",1,"CVP"
"C259572CVP","2025-12-24 04:00:00",35,"Fall","Spring",0.52499998,"CVP"
"C259574CVP","2025-12-24 04:00:00",36,"Fall","Spring",0.99900001,"CVP"
"C259584CVP","2025-12-24 06:00:00",33,"Fall","Fall",0.96399999,"CVP"
"C259582CVP","2025-12-24 06:00:00",33,"Fall","Spring",0.81699997,"CVP"
"C259581CVP","2025-12-24 06:00:00",34,"Fall","Spring",0.912,"CVP"
"C259580CVP","2025-12-24 06:00:00",34,"Fall","Spring",0.99699998,"CVP"
"C259579CVP","2025-12-24 06:00:00",34,"Fall","Spring",0.99900001,"CVP"
"C259577CVP","2025-12-24 06:00:00",34,"Fall","Spring",0.72299999,"CVP"
"C259585CVP","2025-12-24 06:00:00",34,"Fall","Spring",0.78399998,"CVP"
"C259588CVP","2025-12-24 06:00:00",35,"Fall","Spring",0.99299997,"CVP"
"C259583CVP","2025-12-24 06:00:00",35,"Fall","Spring",1,"CVP"
"C259576CVP","2025-12-24 06:00:00",35,"Fall","Spring",0.99800003,"CVP"
"C259586CVP","2025-12-24 06:00:00",35,"Fall","Spring",0.97600001,"CVP"
"C259578CVP","2025-12-24 06:00:00",37,"Fall","Spring",0.99900001,"CVP"
"C259587CVP","2025-12-24 06:00:00",37,"Fall","Spring",0.81800002,"CVP"
"C259605CVP","2025-12-24 08:00:00",34,"Fall","Spring",0.77700001,"CVP"
"C259598CVP","2025-12-24 08:00:00",34,"Fall","Spring",0.99900001,"CVP"
"C259596CVP","2025-12-24 08:00:00",34,"Fall","Spring",0.98500001,"CVP"
"C259606CVP","2025-12-24 08:00:00",35,"Fall","Spring",0.59799999,"CVP"
"C259603CVP","2025-12-24 08:00:00",35,"Fall","Spring",0.99900001,"CVP"
"C259601CVP","2025-12-24 08:00:00",35,"Fall","Spring",0.55900002,"CVP"
"C259602CVP","2025-12-24 08:00:00",35,"Fall","Spring",0.98299998,"CVP"
"C259600CVP","2025-12-24 08:00:00",35,"Fall","Spring",0.98900002,"CVP"
"C259593CVP","2025-12-24 08:00:00",35,"Fall","Spring",0.87800002,"CVP"
"C259590CVP","2025-12-24 08:00:00",35,"Fall","Spring",0.93800002,"CVP"
"C259591CVP","2025-12-24 08:00:00",36,"Fall","Spring",0.991,"CVP"
"C259592CVP","2025-12-24 08:00:00",36,"Fall","Spring",0.95300001,"CVP"
"C259604CVP","2025-12-24 08:00:00",36,"Fall","Spring",0.94400001,"CVP"
"C259607CVP","2025-12-24 08:00:00",37,"Fall","Spring",0.90600002,"CVP"
"C259589CVP","2025-12-24 08:00:00",37,"Fall","Spring",0.72000003,"CVP"
"C259594CVP","2025-12-24 08:00:00",37,"Fall","Spring",0.96399999,"CVP"
"C259595CVP","2025-12-24 08:00:00",37,"Fall","Spring",0.99299997,"CVP"
"C259597CVP","2025-12-24 08:00:00",37,"Fall","Spring",0.90100002,"CVP"
"C259599CVP","2025-12-24 08:00:00",40,"Spring","Spring",0.94599998,"CVP"
"C251300CVP","2025-12-24 10:00:00",35,"Fall","Spring",0.94400001,"CVP"
"C251299CVP","2025-12-24 10:00:00",36,"Fall","Spring",0.95499998,"CVP"
"C251298CVP","2025-12-24 10:00:00",37,"Fall","Spring",0.71600002,"CVP"
