Sample Time, Facility, Species, Adipose Clip, LAD Race, DNA Race, CWT Race, CWT tagcode, CWT Hatch, CWT Release Type, CWT Release Start, CWT Release End, CWT Release Span Days, CWT Release Location, CWT Release Information Source, Days from Release End to Sample Time, Count Duration (minutes), Pumping Duration (minutes), Sample Fraction, Study Type, Length, nfish, Expanded Salvage, Loss, DNA Sample ID, Genetic Probability, Length Row ID,14-day OMRI
1/18/1993 15:00,SWP,Chinook Salmon,Clipped,Winter,,LateFall,052862,CNFH,Experimental,1/4/1993,1/4/1993,1,COLEMAN NFH,RMIS,14,10,120,0.08,Normal count,131,1,12,52.56,,,30510,
1/18/1993 22:00,SWP,Chinook Salmon,Unclipped,Winter,,,,,,,,,,,,10,180,0.06,Normal count,125,1,18,78.93,,,77947,
1/18/1993 23:00,SWP,Chinook Salmon,Clipped,Winter,,LateFall,052859,CNFH,Experimental,1/4/1993,1/4/1993,1,COLEMAN NFH,RMIS,14,5,60,0.08,Normal count,141,1,12,51.73,,,829286,
1/18/1993 23:00,SWP,Chinook Salmon,Clipped,Winter,,,,,,,,,,,,5,60,0.08,Normal count,158,1,12,51.73,,,821598,
1/18/1993 23:00,SWP,Chinook Salmon,Clipped,Winter,,LateFall,053122,CNFH,Experimental,1/4/1993,1/4/1993,1,COLEMAN NFH,RMIS,14,5,60,0.08,Normal count,175,1,12,51.73,,,827224,
1/19/1993 1:00,SWP,Chinook Salmon,Unclipped,Winter,,,,,,,,,,,,5,120,0.04,Normal count,119,1,24,103.9,,,262406,
1/19/1993 1:00,SWP,Chinook Salmon,Clipped,Winter,,LateFall,053121,CNFH,Experimental,1/4/1993,1/4/1993,1,COLEMAN NFH,RMIS,15,5,120,0.04,Normal count,170,1,24,103.9,,,1006519,
1/19/1993 3:00,SWP,Chinook Salmon,Clipped,Winter,,LateFall,052862,CNFH,Experimental,1/4/1993,1/4/1993,1,COLEMAN NFH,RMIS,15,5,120,0.04,Normal count,156,1,24,103.49,,,394870,
1/19/1993 7:00,SWP,Chinook Salmon,Unclipped,Winter,,,,,,,,,,,,10,120,0.08,Normal count,133,1,12,51.88,,,947121,
1/19/1993 11:00,SWP,Chinook Salmon,Unclipped,Winter,,,,,,,,,,,,10,120,0.08,Normal count,102,1,12,51.74,,,22543,
